2026-05-22 10:09:05 | INFO     | [入库] poi_id=03b9feb1-2beb-461a-842b-3de382d2e302 文化旅游/旅游景区 rgb(255,0,255)/260000
2026-05-22 10:09:05 | INFO     | [记录] {"affiliation": ["文化旅游", "事业单位"], "point_type": ["旅游景区", "文化场馆"]}
2026-05-22 10:09:05 | INFO     | SPOT: 凤凰山粮食储备库 | 江苏省/南京市/江宁区/横溪街道
2026-05-22 10:09:06 | INFO     | [高德] 名称搜索已禁用
2026-05-22 10:10:28 | INFO     | [入库] poi_id=05b8f15f-dd43-49f3-a9e8-fc4d6ba259eb 国企平台/三级及以下子公司 rgb(255,187,51)/220000
2026-05-22 10:10:28 | INFO     | [记录] 
2026-05-22 10:10:28 | INFO     | SPOT: 停车场 | 福建省/南平市/政和县/熊山街道
2026-05-22 10:10:29 | INFO     | [高德] 名称搜索已禁用
2026-05-22 10:11:01 | INFO     | [入库] poi_id=0692fefa-be82-4253-9934-d8235e954679 基础设施/市政设施 rgb(100,100,100)/270000
2026-05-22 10:11:01 | INFO     | [记录] 
2026-05-22 10:11:01 | INFO     | SPOT: 南麂列岛景区（4A） | 浙江省/温州市/平阳县/南麂镇
2026-05-22 10:11:01 | INFO     | [高德] 名称搜索已禁用
2026-05-22 10:11:47 | INFO     | [入库] poi_id=071d4b1c-f6cf-489a-990b-8f4d53d76335 文化旅游/旅游景区 rgb(255,0,255)/260000
2026-05-22 10:11:47 | INFO     | [记录] 
2026-05-22 10:11:47 | INFO     | SPOT: 中控集团 | 浙江省/杭州市/滨江区/浦沿街道
2026-05-22 10:11:47 | INFO     | [高德] 名称搜索已禁用
2026-05-22 10:12:01 | INFO     | [入库] poi_id=07b1d777-a46a-4820-9d99-e57dfefa01e7 民营企业/民营独资 rgb(112,243,255)/220000
2026-05-22 10:12:01 | INFO     | [记录] 
2026-05-22 10:12:01 | INFO     | SPOT: 鲁家滩湿地公园商业服务中心 | 四川省/成都市/温江区/和盛镇
2026-05-22 10:12:01 | INFO     | [高德] 名称搜索已禁用
2026-05-22 10:13:08 | INFO     | [入库] poi_id=094e9163-ab08-4b09-9679-5b14c069d848 商业服务/商业综合体 rgb(51,187,255)/200000
2026-05-22 10:13:08 | INFO     | [记录] 
2026-05-22 10:13:08 | INFO     | SPOT: 江苏省戏剧学校天目湖校区 | 江苏省/常州市/溧阳市/天目湖镇
2026-05-22 10:13:08 | INFO     | [高德] 名称搜索已禁用
2026-05-22 10:14:23 | INFO     | [入库] poi_id=095f4793-14e0-4155-812d-d44aa828f996 事业单位/学校 rgb(255,117,51)/160000
2026-05-22 10:14:23 | INFO     | [记录] {"name": ["江苏省戏剧学校(天目湖校区)", "江苏省戏剧学校天目湖校区"]}
2026-05-22 10:14:23 | INFO     | SPOT: 琪琪家 | 江苏省/南京市/鼓楼区/挹江门街道
2026-05-22 10:14:24 | INFO     | [高德] 名称搜索已禁用
2026-05-22 10:15:19 | WARNING  | [标注] affiliation='信息待补充' 无效，请填写真实内容，重试
2026-05-22 10:17:19 | ERROR    | [Hermes] 请求超时
2026-05-22 10:18:50 | WARNING  | [标注] affiliation='信息待补充' 无效，请填写真实内容，重试
2026-05-22 10:20:15 | INFO     | [入库] poi_id=0b0d3f4b-80ef-478b-9096-49bfe0a3b28b 商业服务/餐饮 rgb(51,187,255)/110000
2026-05-22 10:20:15 | INFO     | [记录] 
2026-05-22 10:20:15 | INFO     | SPOT: 复悦城 | 浙江省/宁波市/海曙区/南门街道
2026-05-22 10:20:15 | INFO     | [高德] 名称搜索已禁用
2026-05-22 10:21:18 | INFO     | [入库] poi_id=0c1b2a2e-4c1f-4000-86a4-7bd9cab64cec 商业服务/商业综合体 rgb(51,187,255)/200000
2026-05-22 10:21:18 | INFO     | [记录] {"name": ["宁波复悦城", "复悦城"]}
2026-05-22 10:21:18 | INFO     | SPOT: 华东交通大学 | 江西省/南昌市/新建区/白水湖管理处
2026-05-22 10:21:18 | INFO     | [高德] 名称搜索已禁用
2026-05-22 10:22:24 | INFO     | [入库] poi_id=0cde2fb9-754e-4cb4-ad6a-df6b5919d6af 高等教育/本科高校 rgb(255,255,0)/160000
2026-05-22 10:22:24 | INFO     | [记录] {"name": ["华东交通大学双港东校区南区", "华东交通大学"]}
2026-05-22 10:22:24 | INFO     | SPOT: 古平岗万象城 | 江苏省/南京市/鼓楼区/挹江门街道
2026-05-22 10:22:25 | INFO     | [高德] 名称搜索已禁用
2026-05-22 10:23:53 | INFO     | [入库] poi_id=0d7c0ff6-7ac7-48c4-b593-e5cb676a673d 商业服务/商业综合体 rgb(51,187,255)/200000
2026-05-22 10:23:53 | INFO     | [记录] {"name": ["润珹中心润玺", "古平岗万象城"]}
2026-05-22 10:23:53 | INFO     | SPOT: 杭州万象城二期 | 浙江省/杭州市/上城区/四季青街道
2026-05-22 10:23:54 | INFO     | [高德] 名称搜索已禁用
2026-05-22 10:25:32 | INFO     | [入库] poi_id=0dd2f0f0-0c73-4f11-bb3f-b6a1fb53b473 商业服务/商业综合体 rgb(51,187,255)/200000
2026-05-22 10:25:32 | INFO     | [记录] 
2026-05-22 10:25:32 | INFO     | SPOT: 梧桐语 | 江苏省/南京市/鼓楼区/宝塔桥街道
2026-05-22 10:25:32 | INFO     | [高德] 名称搜索已禁用
